projectId,commitId,ai,starred
1901 ,ed899a2f4b50b4370feeea94676502b42383c746 ,True ,True
551 ,aafa420b4b50bef7bc392a23545ab600cbbade37 ,False ,True
2304 ,6104942438c14ec7bd21c6cd5bd995272b3faff6 ,True ,True
1002 ,ae1d9fb46aa2b07ee9836d49862ec4e2c46fbbba ,False ,False
1340 ,2dc6aa325a317eda67812f05600bdf0fcdc70ab0 ,False ,False
721 ,8b090c1b79a14f2bd9e8a738f717824ff53aebad ,False ,True
2195 ,a738f717824ff53aebad8b090c1b79a14f2bd9e8 ,True ,False
2130 ,18f3e63d05582537db6d183d9d557be09e1f90c8 ,False ,True
1612 ,af5b13261899fb2c0db30abdd0af8b07cb44fdc5 ,True ,True
1899 ,562e173be03b8ff2efb05345d12df18815438a4b ,True ,False
1803 ,da1560886d4f094c3e6c9ef40349f7d38b5d27d7 ,False ,True
1732 ,bcbb5ec396a2c0f828686f14fac9b80b780504f2 ,True ,True
2106 ,2293ada6b400935a1378653304eaf6221e0fdb8f ,True ,False
1105,48f2bc94e37e2f5bf000d9b3d8a10e4143335704 ,False ,True
2201 ,bdacd6241a7a81ba2e8f90399368037c611636ce ,True ,True
2121 ,720d76208fe76c353df44ad8abc17ed65db8314f ,False ,True
2231 ,13ee771de5b0532ccde8444621eea5e5154c7663 ,True ,False
105 ,880e7f8ad09e13b6dbca37c3816e080a0c773ff6 ,True ,True
6 ,e59b81f15904be2237c419b61fbfde072ec91788 ,True ,False
13 ,c4daca529e3002c3249066ac0ddfe46cc155624c ,True ,False
